,ENCnum,ENCtime
2,4294967295.0,14530374.0
3,4294967294.0,14767390.0
4,4294967293.0,14932358.0
5,4294967292.0,15052025.0
6,4294967291.0,15154844.0
7,4294967290.0,15239605.0
8,4294967289.0,15314883.0
9,4294967288.0,15382149.0
10,4294967287.0,15440511.0
11,4294967286.0,15494623.0
12,4294967285.0,15543146.0
13,4294967284.0,15588785.0
14,4294967283.0,15631507.0
15,4294967282.0,15670871.0
16,4294967281.0,15710138.0
17,4294967280.0,15746582.0
18,4294967279.0,15781254.0
19,4294967278.0,15815255.0
20,4294967277.0,15848141.0
21,4294967276.0,15880312.0
22,4294967275.0,15910637.0
23,4294967274.0,15941141.0
24,4294967273.0,15969910.0
25,4294967272.0,15998158.0
26,4294967271.0,16026380.0
27,4294967270.0,16053262.0
28,4294967269.0,16078869.0
29,4294967268.0,16104404.0
30,4294967267.0,16130245.0
31,4294967266.0,16154386.0
32,4294967265.0,16177544.0
33,4294967264.0,16200394.0
34,4294967263.0,16223887.0
35,4294967262.0,16246235.0
36,4294967261.0,16267844.0
37,4294967260.0,16288380.0
38,4294967259.0,16309398.0
39,4294967258.0,16329758.0
40,4294967257.0,16349858.0
41,4294967256.0,16369352.0
42,4294967255.0,16388793.0
43,4294967254.0,16408177.0
44,4294967253.0,16427181.0
45,4294967252.0,16445735.0
46,4294967251.0,16463957.0
47,4294967250.0,16481805.0
48,4294967249.0,16499559.0
49,4294967248.0,16517043.0
50,4294967247.0,16534253.0
51,4294967246.0,16551347.0
52,4294967245.0,16568220.0
53,4294967244.0,16584892.0
54,4294967243.0,16601185.0
55,4294967242.0,16617413.0
56,4294967241.0,16633166.0
57,4294967240.0,16648952.0
58,4294967239.0,16664432.0
59,4294967238.0,16679725.0
60,4294967237.0,16694849.0
61,4294967236.0,16709685.0
62,4294967235.0,16724390.0
63,4294967234.0,16738993.0
64,4294967233.0,16753488.0
65,4294967232.0,16767876.0
66,4294967231.0,16782112.0
67,4294967230.0,16796175.0
68,4294967229.0,16809990.0
69,4294967228.0,16823701.0
70,4294967227.0,16837119.0
71,4294967226.0,16850537.0
72,4294967225.0,16863706.0
73,4294967224.0,16876885.0
74,4294967223.0,16889978.0
75,4294967222.0,16902871.0
76,4294967221.0,16915659.0
77,4294967220.0,16928366.0
78,4294967219.0,16940996.0
79,4294967218.0,16953509.0
80,4294967217.0,16965929.0
81,4294967216.0,16978403.0
82,4294967215.0,16990764.0
83,4294967214.0,17002977.0
84,4294967213.0,17015006.0
85,4294967212.0,17026987.0
86,4294967211.0,17038846.0
87,4294967210.0,17050627.0
88,4294967209.0,17062376.0
89,4294967208.0,17074123.0
90,4294967207.0,17085811.0
91,4294967206.0,17097302.0
92,4294967205.0,17108635.0
93,4294967204.0,17119919.0
94,4294967203.0,17131067.0
95,4294967202.0,17142111.0
96,4294967201.0,17153099.0
97,4294967200.0,17164051.0
98,4294967199.0,17174973.0
99,4294967198.0,17185850.0
100,4294967197.0,17196576.0
101,4294967196.0,17207211.0
102,4294967195.0,17217704.0
103,4294967194.0,17228190.0
104,4294967193.0,17238580.0
105,4294967192.0,17248889.0
106,4294967191.0,17259125.0
107,4294967190.0,17269320.0
108,4294967189.0,17279424.0
109,4294967188.0,17289477.0
110,4294967187.0,17299462.0
111,4294967186.0,17309403.0
112,4294967185.0,17319376.0
113,4294967184.0,17329280.0
114,4294967183.0,17339070.0
115,4294967182.0,17348795.0
116,4294967181.0,17358440.0
117,4294967180.0,17368016.0
118,4294967179.0,17377544.0
